Data Type,Size,Time,Memory Usage
sorted,50,negligible,1.203125
sorted,75,negligible,1.703125
sorted,100,negligible,2.234375
sorted,200,negligible,4.421875
sorted,300,negligible,6.734375
sorted,400,negligible,8.953125
sorted,500,negligible,10.796875
sorted,600,negligible,12.765625
sorted,700,0.0026666666666036085,15.609375
sorted,750,negligible,16.234375
reverse,50,negligible,1.203125
reverse,75,negligible,1.703125
reverse,100,negligible,2.234375
reverse,200,negligible,4.421875
reverse,300,negligible,6.734375
reverse,400,negligible,8.953125
reverse,500,negligible,10.796875
reverse,600,negligible,12.765625
reverse,700,0.0024999999999029874,15.609375
reverse,750,negligible,16.234375
almost_sorted,50,negligible,1.203125
almost_sorted,75,0.002666666666906773,1.703125
almost_sorted,100,negligible,2.328125
almost_sorted,200,negligible,4.421875
almost_sorted,300,negligible,6.734375
almost_sorted,400,negligible,8.953125
almost_sorted,500,negligible,10.796875
almost_sorted,600,negligible,12.953125
almost_sorted,700,negligible,15.609375
almost_sorted,750,negligible,16.421875
unique,50,negligible,1.203125
unique,75,negligible,1.703125
unique,100,negligible,2.234375
unique,200,negligible,4.421875
unique,300,0.0024999999999029874,6.734375
unique,400,negligible,8.953125
unique,500,negligible,10.796875
unique,600,negligible,12.765625
unique,700,negligible,15.609375
unique,750,0.0026666666666036085,16.234375
nonunique,50,negligible,1.046875
nonunique,75,negligible,1.421875
nonunique,100,negligible,2.015625
nonunique,200,negligible,3.609375
nonunique,300,negligible,5.359375
nonunique,400,negligible,7.390625
nonunique,500,negligible,9.171875
nonunique,600,negligible,10.296875
nonunique,700,negligible,12.484375
nonunique,750,negligible,13.421875
float,50,negligible,0.87890625
float,75,negligible,1.26953125
float,100,negligible,1.70703125
float,200,negligible,3.20703125
float,300,negligible,4.83203125
float,400,negligible,6.33203125
float,500,0.0026666666666036085,8.05078125
float,600,negligible,10.01953125
float,700,negligible,11.48828125
float,750,negligible,11.87890625
negative,50,negligible,1.09765625
negative,75,negligible,1.62890625
negative,100,negligible,1.94140625
negative,200,negligible,4.03515625
negative,300,negligible,5.66015625
negative,400,negligible,7.81640625
negative,500,negligible,9.47265625
negative,600,negligible,11.62890625
negative,700,0.002500000000206152,13.62890625
negative,750,negligible,15.55078125
